,B,C,D,E
count,10000.0,10000.0,10000.0,10000.0
mean,37.40532360530377,43663.580384976056,154762.93597845014,6667.532857191083
std,692.8765795653945,13563.546664107638,52062.05554695795,3136.9124988459616
min,0.0,11665.189233757206,5063.217802363038,1403.61013495101
25%,0.0,35371.655657076975,118511.19129011169,4537.599521065591
50%,0.0,41990.476224324564,152507.89577516099,5979.47661594069
75%,0.0,49736.541344364574,188302.07469963937,7999.927728142913
max,35525.90789270675,311774.1807634949,378711.6537389732,46525.63410110216
count,10000.0,10000.0,10000.0,10000.0
mean,0.0,2146.7421209845756,10570.427711534392,7586.590334398654
std,0.0,5059.597024007819,22847.563482970516,3472.976408170365
min,0.0,0.0,0.0,2008.0782448757052
25%,0.0,496.1838125735087,0.0,5229.759255894842
50%,0.0,1498.4141441155734,0.0,6836.354064771008
75%,0.0,3026.4015133642047,1069.9063043222782,9080.153564044904
max,0.0,445313.5954421769,176264.38974351526,49682.23223775582
count,10000.0,10000.0,10000.0,10000.0
mean,2.0211968573823533,44043.16525856082,89727.25883452625,7329.017662415737
std,101.36549765076678,12218.55259382173,50222.12182524811,3335.0730510881062
min,0.0,11467.633198040949,0.0,1215.9056986299206
25%,0.0,35989.87544911509,52926.35969866705,5046.353932159204
50%,0.0,42950.53602886354,87240.39941969054,6585.607917328724
75%,0.0,50340.168096274465,123692.45153705112,8759.69054878927
max,8898.97378520534,206458.12327407178,291596.3155609259,33787.137920236586
